Id,Distance,StationFromUid,StationToUid,Time
54376,1607,2585929,2585931,366
54377,1177,2585929,2585932,290
54378,4482,2585929,2585972,1079
54379,5782,2585929,2585968,1246
54380,4828,2585929,2585967,1040
54381,692,2585929,2585937,185
54382,1639,2585929,2585938,350
54383,1961,2585929,2585939,443
54384,3572,2585929,2585942,728
54385,5735,2585929,2585943,1243
54386,3574,2585929,2585945,725
54387,4694,2585929,2585947,945
54388,9783,2585929,3318717,2068
54389,4198,2585929,2585951,913
54390,4926,2585929,2585954,1041
54391,5415,2585929,2585955,1167
54392,4960,2585929,2585956,1037
54393,5134,2585929,2585958,1064
54394,4273,2585929,2585960,1001
54395,3566,2585929,2585961,812
54396,5328,2585929,2585963,1236
54397,5141,2585929,2585964,1097
54398,952,2585929,2585936,220
54399,2215,2585929,2585934,503
54400,5130,2585929,2585953,1116
54401,9462,2585929,3318711,1989
54402,10844,2585929,3318701,2316
54403,17420,2585929,5291656,3615
54404,24250,2585929,5291665,4985
54405,25123,2585929,5291667,5109
54406,25549,2585929,6860417,5241
54407,28748,2585929,6903044,5837
54408,5653,2585929,3470029,1418
54409,7805,2585929,3454384,1612
54410,9182,2585929,3318744,1938
54411,7830,2585929,2685274,1616
54412,12125,2585929,2586272,2596
54413,18745,2585929,5291649,3911
54414,12775,2585929,2675985,2727
54415,4962,2585929,2685255,1248
54416,790,2585929,2685262,175
54417,5751,2585929,2685263,1266
54418,14314,2585929,2685269,3085
54419,10185,2585929,3110680,2135
54420,8268,2585929,3318732,1748
54421,8682,2585929,3318614,1881
54422,8121,2585929,3318682,1724
54423,8339,2585929,3318688,1801
54424,9171,2585929,3318697,2065
54425,6919,2585929,2676298,1570
54426,11443,2585929,4807409,2651
54427,12790,2585929,4807401,2954
54428,6289,2585929,2585987,1376
54429,6930,2585929,2586001,1480
54430,5936,2585929,2585990,1277
54431,6186,2585929,2585992,1333
54432,5830,2585929,2585994,1301
54433,5445,2585929,2585995,1238
54434,5986,2585929,2585996,1331
54435,6374,2585929,2585997,1429
54436,6541,2585929,2586000,1430
54437,13463,2585929,2586044,2715
54438,10634,2585929,2585984,2504
54439,9460,2585929,2586268,1989
54440,8573,2585929,2586270,1837
54441,18967,2585929,3559966,3907
54442,7969,2585929,4215025,1785
54443,8109,2585929,4393742,1893
54444,15993,2585929,4585378,3457
54445,18960,2585929,4729149,4152
54446,16987,2585929,4807340,3751
54447,15839,2585929,4807350,3560
54448,15011,2585929,4807388,3369
54449,13923,2585929,4807395,3201
54450,5991,2585929,2585971,1253
54451,5071,2585929,2585983,1130
54452,5460,2585929,2585982,1173
54453,7815,2585929,2586018,1614
54454,8842,2585929,2586019,1839
54455,9526,2585929,2586021,1958
54456,8276,2585929,2586022,1722
54457,8812,2585929,2586024,1865
54458,11104,2585929,2586026,2299
54459,12591,2585929,2586028,2626
54460,10185,2585929,2586030,2206
54461,4864,2585929,2586031,1074
54462,9594,2585929,2586032,2009
54463,8147,2585929,2586014,1768
54464,11693,2585929,2586034,2362
54465,12230,2585929,2586039,2578
54466,12950,2585929,2586042,2646
54467,8602,2585929,2586009,1900
54468,7673,2585929,2586005,1722
54469,6806,2585929,2586003,1449
54470,6549,2585929,2585985,1422
54471,4293,2585929,2585974,945
54472,4985,2585929,2585975,1088
54473,9977,2585929,2585978,2163
54474,6575,2585929,2585981,1428
54475,10877,2585929,2586037,2345
54476,4941,2585929,2586012,1086
54477,9335,2585929,2586011,1989
54478,12453,2585929,2586045,2639
54479,28746,2585929,6926354,5836
54480,28749,2585929,6950077,5837
54481,1884,2585928,2585929,407
54482,5713,2585928,2585967,1134
54483,1864,2585928,2585937,348
54484,1520,2585928,2585938,283
54485,2846,2585928,2585939,537
54486,3740,2585928,2585942,762
54487,6620,2585928,2585943,1337
54488,3742,2585928,2585945,734
54489,4542,2585928,2585947,890
54490,4366,2585928,2585951,948
54491,4842,2585928,2585953,978
54492,6667,2585928,2585968,1340
54493,5094,2585928,2585954,1076
54494,5846,2585928,2585956,1131
54495,6019,2585928,2585958,1158
54496,5158,2585928,2585960,1095
54497,4451,2585928,2585961,906
54498,6214,2585928,2585963,1330
54499,6026,2585928,2585964,1192
54500,2702,2585928,2585936,492
54501,1832,2585928,2585934,371
54502,901,2585928,2585932,176
54503,1407,2585928,2585931,269
54504,6301,2585928,2585955,1261
54505,5368,2585928,2585972,1173
54506,10668,2585928,3318717,2163
54507,26008,2585928,5291667,5203
54508,26434,2585928,6860417,5336
54509,29634,2585928,6903044,5931
54510,7478,2585928,3470029,1752
54511,8690,2585928,3454384,1706
54512,10067,2585928,3318744,2032
54513,8715,2585928,2685274,1711
54514,13010,2585928,2586272,2691
54515,13660,2585928,2675985,2821
54516,7804,2585928,2676298,1665
54517,25135,2585928,5291665,5079
54518,6787,2585928,2685255,1582
54519,6636,2585928,2685263,1360
54520,15199,2585928,2685269,3179
54521,11071,2585928,3110680,2229
54522,9154,2585928,3318732,1842
54523,9568,2585928,3318614,1975
54524,9006,2585928,3318682,1818
54525,9225,2585928,3318688,1895
54526,10057,2585928,3318697,2159
54527,11729,2585928,3318701,2410
54528,10347,2585928,3318711,2084
54529,1314,2585928,2685262,249
54530,18306,2585928,5291656,3709
54531,19630,2585928,5291649,4005
54532,6821,2585928,2585990,1371
54533,7072,2585928,2585992,1427
54534,6715,2585928,2585994,1395
54535,5772,2585928,2585995,1209
54536,6087,2585928,2585996,1284
54537,7259,2585928,2585997,1524
54538,7427,2585928,2586000,1524
54539,14349,2585928,2586044,2809
54540,10345,2585928,2586268,2083
54541,6877,2585928,2585971,1348
54542,7815,2585928,2586001,1574
54543,9458,2585928,2586270,1931
54544,8855,2585928,4215025,1879
54545,8995,2585928,4393742,1987
54546,16879,2585928,4585378,3552
54547,18640,2585928,4729149,3865
54548,18813,2585928,4807340,4085
54549,17664,2585928,4807350,3895
54550,16836,2585928,4807388,3703
54551,15749,2585928,4807395,3535
54552,14616,2585928,4807401,3289
54553,13268,2585928,4807409,2985
54554,19853,2585928,3559966,4001
54555,7175,2585928,2585987,1471
54556,12459,2585928,2585984,2838
54557,10411,2585928,2586021,2053
54558,9161,2585928,2586022,1816
54559,9697,2585928,2586024,1959
54560,11989,2585928,2586026,2393
54561,13477,2585928,2586028,2720
54562,11070,2585928,2586030,2301
54563,5750,2585928,2586031,1168
54564,10479,2585928,2586032,2104
54565,12578,2585928,2586034,2456
54566,11763,2585928,2586037,2439
54567,9727,2585928,2586019,1933
54568,13115,2585928,2586039,2672
54569,9488,2585928,2586009,1994
54570,8558,2585928,2586005,1816
54571,7691,2585928,2586003,1544
54572,7434,2585928,2585985,1517
54573,5179,2585928,2585974,1039
54574,5870,2585928,2585975,1182
54575,10862,2585928,2585978,2257
54576,7461,2585928,2585981,1523
54577,6345,2585928,2585982,1267
54578,5956,2585928,2585983,1224
54579,13836,2585928,2586042,2740
54580,8700,2585928,2586018,1708
54581,9032,2585928,2586014,1862
54582,5826,2585928,2586012,1180
54583,10221,2585928,2586011,2083
54584,13338,2585928,2586045,2734
54585,29631,2585928,6926354,5930
54586,29634,2585928,6950077,5931
54587,4579,2585926,2585929,989
54588,4560,2585926,2585937,928
54589,4203,2585926,2585938,861
54590,5175,2585926,2585939,1076
54591,5010,2585926,2585942,1001
54592,7914,2585926,2585943,1599
54593,5012,2585926,2585945,997
54594,6132,2585926,2585947,1218
54595,6165,2585926,2585951,1256
54596,6141,2585926,2585953,1288
54597,6893,2585926,2585954,1384
54598,7007,2585926,2585967,1396
54599,7594,2585926,2585955,1523
